zenodo_row_idx,StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,Gender_lbl,Internet_lbl,Extracurricular_lbl,EduTech_lbl,Discussions_lbl,Motivation_lbl,StressLevel_lbl,Resources_lbl,FinalGrade_lbl,LearningStyle_lbl,attendance_norm,assignment_norm,exam_norm,motivation_norm,stress_norm,discussion_norm
2020,23,81,1,0,0,1,1,19,2,5,1,90,54,1,2,3,Male,Yes,No,Yes,Yes,High,Medium,Low,Fail,ReadWrite,0.5249999999999999,0.8,0.2333333333333334,0.0,1.0,1.0
2021,23,81,1,0,0,1,1,27,0,6,1,79,57,1,2,2,Male,Yes,No,Yes,Yes,High,Medium,Low,Pass,Auditory,0.5249999999999999,0.5800000000000001,0.2833333333333333,0.0,1.0,1.0
2022,23,81,1,0,0,1,1,20,1,3,1,59,57,1,2,2,Male,Yes,No,Yes,Yes,High,Medium,Low,Pass,Kinesthetic,0.5249999999999999,0.17999999999999994,0.2833333333333333,0.0,1.0,1.0
2023,23,81,1,0,0,1,1,19,2,5,1,90,54,1,2,3,Male,Yes,No,Yes,Yes,High,Medium,Low,Fail,ReadWrite,0.5249999999999999,0.8,0.2333333333333334,0.0,1.0,1.0
2024,23,81,1,0,0,1,1,27,0,6,1,79,57,1,2,2,Male,Yes,No,Yes,Yes,High,Medium,Low,Pass,Auditory,0.5249999999999999,0.5800000000000001,0.2833333333333333,0.0,1.0,1.0
2025,23,81,1,0,1,1,1,20,1,3,1,59,57,1,2,2,Male,Yes,No,Yes,Yes,Low,Medium,Low,Pass,Kinesthetic,0.5249999999999999,0.17999999999999994,0.2833333333333333,0.5,1.0,1.0
2026,23,81,1,0,1,1,1,19,2,5,1,90,54,1,2,3,Male,Yes,No,Yes,Yes,Low,Medium,Low,Fail,ReadWrite,0.5249999999999999,0.8,0.2333333333333334,0.5,1.0,1.0
2027,23,81,1,0,1,1,1,27,0,6,1,79,57,1,2,2,Male,Yes,No,Yes,Yes,Low,Medium,Low,Pass,Auditory,0.5249999999999999,0.5800000000000001,0.2833333333333333,0.5,1.0,1.0
2028,23,81,1,0,2,1,1,20,1,3,1,59,57,1,2,2,Male,Yes,No,Yes,Yes,Medium,Medium,Low,Pass,Kinesthetic,0.5249999999999999,0.17999999999999994,0.2833333333333333,1.0,1.0,1.0
2029,23,81,1,0,2,1,1,19,2,5,1,90,54,1,2,3,Male,Yes,No,Yes,Yes,Medium,Medium,Low,Fail,ReadWrite,0.5249999999999999,0.8,0.2333333333333334,1.0,1.0,1.0
2030,23,81,1,0,2,1,1,27,0,6,1,79,57,1,2,2,Male,Yes,No,Yes,Yes,Medium,Medium,Low,Pass,Auditory,0.5249999999999999,0.5800000000000001,0.2833333333333333,1.0,1.0,1.0
2031,23,81,2,0,0,1,1,20,1,3,1,59,57,1,2,2,Male,Yes,No,Yes,Yes,High,Medium,Medium,Pass,Kinesthetic,0.5249999999999999,0.17999999999999994,0.2833333333333333,0.0,1.0,1.0
2032,23,81,2,0,0,1,1,19,2,5,1,90,54,1,2,3,Male,Yes,No,Yes,Yes,High,Medium,Medium,Fail,ReadWrite,0.5249999999999999,0.8,0.2333333333333334,0.0,1.0,1.0
2033,23,81,2,0,0,1,1,27,0,6,1,79,57,1,2,2,Male,Yes,No,Yes,Yes,High,Medium,Medium,Pass,Auditory,0.5249999999999999,0.5800000000000001,0.2833333333333333,0.0,1.0,1.0
2034,23,74,2,1,0,1,1,22,2,4,1,61,84,1,2,1,Male,Yes,Yes,Yes,Yes,High,Medium,Medium,Merit,ReadWrite,0.3500000000000001,0.21999999999999997,0.7333333333333333,0.0,1.0,1.0
2035,23,74,2,1,0,1,1,28,2,14,1,72,56,0,2,2,Male,Yes,Yes,No,Yes,High,Medium,Medium,Pass,ReadWrite,0.3500000000000001,0.43999999999999995,0.2666666666666667,0.0,1.0,1.0
2036,23,74,2,1,0,1,1,26,3,1,1,65,62,1,2,2,Male,Yes,Yes,Yes,Yes,High,Medium,Medium,Pass,Visual,0.3500000000000001,0.30000000000000004,0.3666666666666666,0.0,1.0,1.0
2037,23,74,0,0,0,1,1,22,2,4,1,61,84,1,2,1,Male,Yes,No,Yes,Yes,High,Medium,High,Merit,ReadWrite,0.3500000000000001,0.21999999999999997,0.7333333333333333,0.0,1.0,1.0
2038,23,74,0,0,0,1,1,28,2,14,1,72,56,0,2,2,Male,Yes,No,No,Yes,High,Medium,High,Pass,ReadWrite,0.3500000000000001,0.43999999999999995,0.2666666666666667,0.0,1.0,1.0
2039,23,74,0,0,0,1,1,26,3,1,1,65,62,1,2,2,Male,Yes,No,Yes,Yes,High,Medium,High,Pass,Visual,0.3500000000000001,0.30000000000000004,0.3666666666666666,0.0,1.0,1.0
2040,23,74,0,0,0,1,1,22,2,4,1,61,84,1,2,1,Male,Yes,No,Yes,Yes,High,Medium,High,Merit,ReadWrite,0.3500000000000001,0.21999999999999997,0.7333333333333333,0.0,1.0,1.0
2041,23,74,0,0,0,1,1,28,2,14,1,72,56,0,2,2,Male,Yes,No,No,Yes,High,Medium,High,Pass,ReadWrite,0.3500000000000001,0.43999999999999995,0.2666666666666667,0.0,1.0,1.0
2042,23,74,0,0,0,1,1,26,3,1,1,65,62,1,2,2,Male,Yes,No,Yes,Yes,High,Medium,High,Pass,Visual,0.3500000000000001,0.30000000000000004,0.3666666666666666,0.0,1.0,1.0
2043,23,74,1,0,1,1,1,22,2,4,1,61,84,1,2,1,Male,Yes,No,Yes,Yes,Low,Medium,Low,Merit,ReadWrite,0.3500000000000001,0.21999999999999997,0.7333333333333333,0.5,1.0,1.0
2044,23,74,1,0,1,1,1,28,2,14,1,72,56,0,2,2,Male,Yes,No,No,Yes,Low,Medium,Low,Pass,ReadWrite,0.3500000000000001,0.43999999999999995,0.2666666666666667,0.5,1.0,1.0
2045,23,74,1,0,1,1,1,26,3,1,1,65,62,1,2,2,Male,Yes,No,Yes,Yes,Low,Medium,Low,Pass,Visual,0.3500000000000001,0.30000000000000004,0.3666666666666666,0.5,1.0,1.0
2046,23,74,2,1,1,1,1,22,2,4,1,61,84,1,2,1,Male,Yes,Yes,Yes,Yes,Low,Medium,Medium,Merit,ReadWrite,0.3500000000000001,0.21999999999999997,0.7333333333333333,0.5,1.0,1.0
2047,23,74,2,1,1,1,1,28,2,14,1,72,56,0,2,2,Male,Yes,Yes,No,Yes,Low,Medium,Medium,Pass,ReadWrite,0.3500000000000001,0.43999999999999995,0.2666666666666667,0.5,1.0,1.0
2048,23,74,2,1,1,1,1,26,3,1,1,65,62,1,2,2,Male,Yes,Yes,Yes,Yes,Low,Medium,Medium,Pass,Visual,0.3500000000000001,0.30000000000000004,0.3666666666666666,0.5,1.0,1.0
2049,23,74,2,1,0,0,1,22,2,4,1,61,84,1,2,1,Male,No,Yes,Yes,Yes,High,Medium,Medium,Merit,ReadWrite,0.3500000000000001,0.21999999999999997,0.7333333333333333,0.0,1.0,1.0
2050,23,74,2,1,0,0,1,28,2,14,1,72,56,0,2,2,Male,No,Yes,No,Yes,High,Medium,Medium,Pass,ReadWrite,0.3500000000000001,0.43999999999999995,0.2666666666666667,0.0,1.0,1.0
2051,23,74,2,1,0,0,1,26,3,1,1,65,62,1,2,2,Male,No,Yes,Yes,Yes,High,Medium,Medium,Pass,Visual,0.3500000000000001,0.30000000000000004,0.3666666666666666,0.0,1.0,1.0
2052,23,74,1,1,1,0,1,22,2,4,1,61,84,1,2,1,Male,No,Yes,Yes,Yes,Low,Medium,Low,Merit,ReadWrite,0.3500000000000001,0.21999999999999997,0.7333333333333333,0.5,1.0,1.0
2053,23,74,1,1,1,0,1,28,2,14,1,72,56,0,2,2,Male,No,Yes,No,Yes,Low,Medium,Low,Pass,ReadWrite,0.3500000000000001,0.43999999999999995,0.2666666666666667,0.5,1.0,1.0
2054,23,74,1,1,1,0,1,26,3,1,1,65,62,1,2,2,Male,No,Yes,Yes,Yes,Low,Medium,Low,Pass,Visual,0.3500000000000001,0.30000000000000004,0.3666666666666666,0.5,1.0,1.0
2055,43,86,1,1,1,1,0,27,3,2,1,56,58,0,0,2,Female,Yes,Yes,No,Yes,Low,High,Low,Pass,Visual,0.6499999999999999,0.1200000000000001,0.30000000000000004,0.5,0.0,1.0
2056,23,77,2,1,0,1,0,23,3,10,0,55,64,0,2,2,Female,Yes,Yes,No,No,High,Medium,Medium,Pass,Visual,0.42500000000000004,0.10000000000000009,0.4,0.0,1.0,0.0
2057,23,77,2,1,0,1,0,22,3,0,0,90,78,0,2,1,Female,Yes,Yes,No,No,High,Medium,Medium,Merit,Visual,0.42500000000000004,0.8,0.6333333333333334,0.0,1.0,0.0
2058,23,77,2,1,0,1,0,29,0,16,0,52,91,1,1,0,Female,Yes,Yes,Yes,No,High,Low,Medium,Distinction,Auditory,0.42500000000000004,0.040000000000000036,0.85,0.0,0.5,0.0
2059,23,77,2,1,0,1,0,22,2,19,1,59,51,1,1,3,Female,Yes,Yes,Yes,Yes,High,Low,Medium,Fail,ReadWrite,0.42500000000000004,0.17999999999999994,0.18333333333333335,0.0,0.5,1.0
2060,23,77,2,1,1,1,0,23,3,10,0,55,64,0,2,2,Female,Yes,Yes,No,No,Low,Medium,Medium,Pass,Visual,0.42500000000000004,0.10000000000000009,0.4,0.5,1.0,0.0
2061,23,77,2,1,1,1,0,22,3,0,0,90,78,0,2,1,Female,Yes,Yes,No,No,Low,Medium,Medium,Merit,Visual,0.42500000000000004,0.8,0.6333333333333334,0.5,1.0,0.0
2062,23,77,2,1,1,1,0,29,0,16,0,52,91,1,1,0,Female,Yes,Yes,Yes,No,Low,Low,Medium,Distinction,Auditory,0.42500000000000004,0.040000000000000036,0.85,0.5,0.5,0.0
2063,23,77,2,1,1,1,0,22,2,19,1,59,51,1,1,3,Female,Yes,Yes,Yes,Yes,Low,Low,Medium,Fail,ReadWrite,0.42500000000000004,0.17999999999999994,0.18333333333333335,0.5,0.5,1.0
2064,23,77,1,1,1,1,0,23,3,10,0,55,64,0,2,2,Female,Yes,Yes,No,No,Low,Medium,Low,Pass,Visual,0.42500000000000004,0.10000000000000009,0.4,0.5,1.0,0.0
2065,23,77,1,1,1,1,0,22,3,0,0,90,78,0,2,1,Female,Yes,Yes,No,No,Low,Medium,Low,Merit,Visual,0.42500000000000004,0.8,0.6333333333333334,0.5,1.0,0.0
2066,23,77,1,1,1,1,0,29,0,16,0,52,91,1,1,0,Female,Yes,Yes,Yes,No,Low,Low,Low,Distinction,Auditory,0.42500000000000004,0.040000000000000036,0.85,0.5,0.5,0.0
2067,23,77,1,1,1,1,0,22,2,19,1,59,51,1,1,3,Female,Yes,Yes,Yes,Yes,Low,Low,Low,Fail,ReadWrite,0.42500000000000004,0.17999999999999994,0.18333333333333335,0.5,0.5,1.0
2068,27,89,2,1,1,1,1,27,3,19,0,51,67,1,2,2,Male,Yes,Yes,Yes,No,Low,Medium,Medium,Pass,Visual,0.7250000000000001,0.020000000000000018,0.45000000000000007,0.5,1.0,0.0
2069,27,89,2,1,1,1,1,18,0,17,1,77,75,0,0,1,Male,Yes,Yes,No,Yes,Low,High,Medium,Merit,Auditory,0.7250000000000001,0.54,0.5833333333333334,0.5,0.0,1.0
2070,27,89,2,1,1,1,1,25,2,20,1,98,97,1,0,0,Male,Yes,Yes,Yes,Yes,Low,High,Medium,Distinction,ReadWrite,0.7250000000000001,0.96,0.9500000000000001,0.5,0.0,1.0
2071,27,89,1,0,1,1,1,27,3,19,0,51,67,1,2,2,Male,Yes,No,Yes,No,Low,Medium,Low,Pass,Visual,0.7250000000000001,0.020000000000000018,0.45000000000000007,0.5,1.0,0.0
2072,27,89,1,0,1,1,1,18,0,17,1,77,75,0,0,1,Male,Yes,No,No,Yes,Low,High,Low,Merit,Auditory,0.7250000000000001,0.54,0.5833333333333334,0.5,0.0,1.0
2073,27,89,1,0,1,1,1,25,2,20,1,98,97,1,0,0,Male,Yes,No,Yes,Yes,Low,High,Low,Distinction,ReadWrite,0.7250000000000001,0.96,0.9500000000000001,0.5,0.0,1.0
2074,26,94,2,0,2,1,1,29,2,13,1,100,86,0,2,0,Male,Yes,No,No,Yes,Medium,Medium,Medium,Distinction,ReadWrite,0.8500000000000001,1.0,0.7666666666666667,1.0,1.0,1.0
2075,26,94,2,0,2,1,1,21,1,20,0,72,74,0,2,1,Male,Yes,No,No,No,Medium,Medium,Medium,Merit,Kinesthetic,0.8500000000000001,0.43999999999999995,0.5666666666666668,1.0,1.0,0.0
2076,26,94,1,1,0,1,1,29,2,13,1,100,86,0,2,0,Male,Yes,Yes,No,Yes,High,Medium,Low,Distinction,ReadWrite,0.8500000000000001,1.0,0.7666666666666667,0.0,1.0,1.0
2077,26,94,1,1,0,1,1,21,1,20,0,72,74,0,2,1,Male,Yes,Yes,No,No,High,Medium,Low,Merit,Kinesthetic,0.8500000000000001,0.43999999999999995,0.5666666666666668,0.0,1.0,0.0
2078,26,94,0,1,0,1,1,29,2,13,1,100,86,0,2,0,Male,Yes,Yes,No,Yes,High,Medium,High,Distinction,ReadWrite,0.8500000000000001,1.0,0.7666666666666667,0.0,1.0,1.0
2079,26,94,0,1,0,1,1,21,1,20,0,72,74,0,2,1,Male,Yes,Yes,No,No,High,Medium,High,Merit,Kinesthetic,0.8500000000000001,0.43999999999999995,0.5666666666666668,0.0,1.0,0.0
2080,26,94,0,1,0,1,1,29,2,13,1,100,86,0,2,0,Male,Yes,Yes,No,Yes,High,Medium,High,Distinction,ReadWrite,0.8500000000000001,1.0,0.7666666666666667,0.0,1.0,1.0
2081,26,94,0,1,0,1,1,21,1,20,0,72,74,0,2,1,Male,Yes,Yes,No,No,High,Medium,High,Merit,Kinesthetic,0.8500000000000001,0.43999999999999995,0.5666666666666668,0.0,1.0,0.0
2082,24,66,0,0,0,1,0,22,2,3,0,56,84,0,0,1,Female,Yes,No,No,No,High,High,High,Merit,ReadWrite,0.15000000000000013,0.1200000000000001,0.7333333333333333,0.0,0.0,0.0
2083,18,78,1,1,1,0,1,24,2,15,1,76,83,0,2,1,Male,No,Yes,No,Yes,Low,Medium,Low,Merit,ReadWrite,0.4500000000000002,0.52,0.7166666666666667,0.5,1.0,1.0
2084,18,78,1,1,0,1,1,24,2,15,1,76,83,0,2,1,Male,Yes,Yes,No,Yes,High,Medium,Low,Merit,ReadWrite,0.4500000000000002,0.52,0.7166666666666667,0.0,1.0,1.0
2085,18,78,2,1,0,1,1,24,2,15,1,76,83,0,2,1,Male,Yes,Yes,No,Yes,High,Medium,Medium,Merit,ReadWrite,0.4500000000000002,0.52,0.7166666666666667,0.0,1.0,1.0
2086,18,78,2,1,2,1,1,24,2,15,1,76,83,0,2,1,Male,Yes,Yes,No,Yes,Medium,Medium,Medium,Merit,ReadWrite,0.4500000000000002,0.52,0.7166666666666667,1.0,1.0,1.0
2087,18,78,1,0,1,1,1,24,2,15,1,76,83,0,2,1,Male,Yes,No,No,Yes,Low,Medium,Low,Merit,ReadWrite,0.4500000000000002,0.52,0.7166666666666667,0.5,1.0,1.0
2088,18,78,2,0,2,1,1,24,2,15,1,76,83,0,2,1,Male,Yes,No,No,Yes,Medium,Medium,Medium,Merit,ReadWrite,0.4500000000000002,0.52,0.7166666666666667,1.0,1.0,1.0
2089,18,78,0,1,2,1,1,24,2,15,1,76,83,0,2,1,Male,Yes,Yes,No,Yes,Medium,Medium,High,Merit,ReadWrite,0.4500000000000002,0.52,0.7166666666666667,1.0,1.0,1.0
2090,18,78,1,0,0,0,1,24,2,15,1,76,83,0,2,1,Male,No,No,No,Yes,High,Medium,Low,Merit,ReadWrite,0.4500000000000002,0.52,0.7166666666666667,0.0,1.0,1.0
2091,25,76,1,1,2,1,0,22,2,20,1,98,68,0,1,2,Female,Yes,Yes,No,Yes,Medium,Low,Low,Pass,ReadWrite,0.40000000000000013,0.96,0.4666666666666667,1.0,0.5,1.0
2092,25,76,1,1,2,1,0,22,2,20,1,56,83,0,2,1,Female,Yes,Yes,No,Yes,Medium,Medium,Low,Merit,ReadWrite,0.40000000000000013,0.1200000000000001,0.7166666666666667,1.0,1.0,1.0
2093,25,76,2,1,1,1,0,22,2,20,1,98,68,0,1,2,Female,Yes,Yes,No,Yes,Low,Low,Medium,Pass,ReadWrite,0.40000000000000013,0.96,0.4666666666666667,0.5,0.5,1.0
2094,25,76,2,1,1,1,0,22,2,20,1,56,83,0,2,1,Female,Yes,Yes,No,Yes,Low,Medium,Medium,Merit,ReadWrite,0.40000000000000013,0.1200000000000001,0.7166666666666667,0.5,1.0,1.0
2095,25,76,2,0,2,1,0,22,2,20,1,98,68,0,1,2,Female,Yes,No,No,Yes,Medium,Low,Medium,Pass,ReadWrite,0.40000000000000013,0.96,0.4666666666666667,1.0,0.5,1.0
2096,25,76,2,0,2,1,0,22,2,20,1,56,83,0,2,1,Female,Yes,No,No,Yes,Medium,Medium,Medium,Merit,ReadWrite,0.40000000000000013,0.1200000000000001,0.7166666666666667,1.0,1.0,1.0
2097,25,76,2,1,1,1,0,22,2,20,1,98,68,0,1,2,Female,Yes,Yes,No,Yes,Low,Low,Medium,Pass,ReadWrite,0.40000000000000013,0.96,0.4666666666666667,0.5,0.5,1.0
2098,25,76,2,1,1,1,0,22,2,20,1,56,83,0,2,1,Female,Yes,Yes,No,Yes,Low,Medium,Medium,Merit,ReadWrite,0.40000000000000013,0.1200000000000001,0.7166666666666667,0.5,1.0,1.0
2099,25,76,0,1,1,1,0,22,2,20,1,98,68,0,1,2,Female,Yes,Yes,No,Yes,Low,Low,High,Pass,ReadWrite,0.40000000000000013,0.96,0.4666666666666667,0.5,0.5,1.0
2100,25,76,0,1,1,1,0,22,2,20,1,56,83,0,2,1,Female,Yes,Yes,No,Yes,Low,Medium,High,Merit,ReadWrite,0.40000000000000013,0.1200000000000001,0.7166666666666667,0.5,1.0,1.0
2101,15,87,2,1,1,1,1,29,0,6,0,59,59,1,1,2,Male,Yes,Yes,Yes,No,Low,Low,Medium,Pass,Auditory,0.6750000000000003,0.17999999999999994,0.31666666666666665,0.5,0.5,0.0
2102,15,87,2,1,1,1,1,18,2,10,0,95,87,1,2,0,Male,Yes,Yes,Yes,No,Low,Medium,Medium,Distinction,ReadWrite,0.6750000000000003,0.9000000000000001,0.7833333333333333,0.5,1.0,0.0
2103,15,87,2,1,1,1,1,24,2,11,1,52,97,1,2,0,Male,Yes,Yes,Yes,Yes,Low,Medium,Medium,Distinction,ReadWrite,0.6750000000000003,0.040000000000000036,0.9500000000000001,0.5,1.0,1.0
2104,15,87,1,0,1,1,1,29,0,6,0,59,59,1,1,2,Male,Yes,No,Yes,No,Low,Low,Low,Pass,Auditory,0.6750000000000003,0.17999999999999994,0.31666666666666665,0.5,0.5,0.0
2105,15,87,1,0,1,1,1,18,2,10,0,95,87,1,2,0,Male,Yes,No,Yes,No,Low,Medium,Low,Distinction,ReadWrite,0.6750000000000003,0.9000000000000001,0.7833333333333333,0.5,1.0,0.0
2106,15,87,1,0,1,1,1,24,2,11,1,52,97,1,2,0,Male,Yes,No,Yes,Yes,Low,Medium,Low,Distinction,ReadWrite,0.6750000000000003,0.040000000000000036,0.9500000000000001,0.5,1.0,1.0
2107,15,87,0,1,2,1,1,29,0,6,0,59,59,1,1,2,Male,Yes,Yes,Yes,No,Medium,Low,High,Pass,Auditory,0.6750000000000003,0.17999999999999994,0.31666666666666665,1.0,0.5,0.0
2108,15,87,0,1,2,1,1,18,2,10,0,95,87,1,2,0,Male,Yes,Yes,Yes,No,Medium,Medium,High,Distinction,ReadWrite,0.6750000000000003,0.9000000000000001,0.7833333333333333,1.0,1.0,0.0
2109,15,87,0,1,2,1,1,24,2,11,1,52,97,1,2,0,Male,Yes,Yes,Yes,Yes,Medium,Medium,High,Distinction,ReadWrite,0.6750000000000003,0.040000000000000036,0.9500000000000001,1.0,1.0,1.0
2110,15,87,1,1,1,1,1,29,0,6,0,59,59,1,1,2,Male,Yes,Yes,Yes,No,Low,Low,Low,Pass,Auditory,0.6750000000000003,0.17999999999999994,0.31666666666666665,0.5,0.5,0.0
2111,15,87,1,1,1,1,1,18,2,10,0,95,87,1,2,0,Male,Yes,Yes,Yes,No,Low,Medium,Low,Distinction,ReadWrite,0.6750000000000003,0.9000000000000001,0.7833333333333333,0.5,1.0,0.0
2112,15,87,1,1,1,1,1,24,2,11,1,52,97,1,2,0,Male,Yes,Yes,Yes,Yes,Low,Medium,Low,Distinction,ReadWrite,0.6750000000000003,0.040000000000000036,0.9500000000000001,0.5,1.0,1.0
2113,15,87,1,0,1,1,1,29,0,6,0,59,59,1,1,2,Male,Yes,No,Yes,No,Low,Low,Low,Pass,Auditory,0.6750000000000003,0.17999999999999994,0.31666666666666665,0.5,0.5,0.0
2114,15,87,1,0,1,1,1,18,2,10,0,95,87,1,2,0,Male,Yes,No,Yes,No,Low,Medium,Low,Distinction,ReadWrite,0.6750000000000003,0.9000000000000001,0.7833333333333333,0.5,1.0,0.0
2115,15,87,1,0,1,1,1,24,2,11,1,52,97,1,2,0,Male,Yes,No,Yes,Yes,Low,Medium,Low,Distinction,ReadWrite,0.6750000000000003,0.040000000000000036,0.9500000000000001,0.5,1.0,1.0
2116,19,70,0,0,2,1,1,26,3,8,1,56,77,1,2,1,Male,Yes,No,Yes,Yes,Medium,Medium,High,Merit,Visual,0.25,0.1200000000000001,0.6166666666666666,1.0,1.0,1.0
2117,19,70,0,0,2,1,1,23,0,6,0,53,91,1,0,0,Male,Yes,No,Yes,No,Medium,High,High,Distinction,Auditory,0.25,0.06000000000000005,0.85,1.0,0.0,0.0
2118,19,70,1,0,0,0,1,26,3,8,1,56,77,1,2,1,Male,No,No,Yes,Yes,High,Medium,Low,Merit,Visual,0.25,0.1200000000000001,0.6166666666666666,0.0,1.0,1.0
2119,19,70,1,0,0,0,1,23,0,6,0,53,91,1,0,0,Male,No,No,Yes,No,High,High,Low,Distinction,Auditory,0.25,0.06000000000000005,0.85,0.0,0.0,0.0
2120,19,70,0,1,0,1,1,26,3,8,1,56,77,1,2,1,Male,Yes,Yes,Yes,Yes,High,Medium,High,Merit,Visual,0.25,0.1200000000000001,0.6166666666666666,0.0,1.0,1.0
2121,19,70,0,1,0,1,1,23,0,6,0,53,91,1,0,0,Male,Yes,Yes,Yes,No,High,High,High,Distinction,Auditory,0.25,0.06000000000000005,0.85,0.0,0.0,0.0
2122,19,70,1,1,0,1,1,26,3,8,1,56,77,1,2,1,Male,Yes,Yes,Yes,Yes,High,Medium,Low,Merit,Visual,0.25,0.1200000000000001,0.6166666666666666,0.0,1.0,1.0
2123,19,70,1,1,0,1,1,23,0,6,0,53,91,1,0,0,Male,Yes,Yes,Yes,No,High,High,Low,Distinction,Auditory,0.25,0.06000000000000005,0.85,0.0,0.0,0.0
2124,19,70,0,0,1,1,1,26,3,8,1,56,77,1,2,1,Male,Yes,No,Yes,Yes,Low,Medium,High,Merit,Visual,0.25,0.1200000000000001,0.6166666666666666,0.5,1.0,1.0
2125,19,70,0,0,1,1,1,23,0,6,0,53,91,1,0,0,Male,Yes,No,Yes,No,Low,High,High,Distinction,Auditory,0.25,0.06000000000000005,0.85,0.5,0.0,0.0
2126,19,70,1,0,1,1,1,26,3,8,1,56,77,1,2,1,Male,Yes,No,Yes,Yes,Low,Medium,Low,Merit,Visual,0.25,0.1200000000000001,0.6166666666666666,0.5,1.0,1.0
2127,19,70,1,0,1,1,1,23,0,6,0,53,91,1,0,0,Male,Yes,No,Yes,No,Low,High,Low,Distinction,Auditory,0.25,0.06000000000000005,0.85,0.5,0.0,0.0
2128,19,70,2,1,1,1,1,26,3,8,1,56,77,1,2,1,Male,Yes,Yes,Yes,Yes,Low,Medium,Medium,Merit,Visual,0.25,0.1200000000000001,0.6166666666666666,0.5,1.0,1.0
2129,19,70,2,1,1,1,1,23,0,6,0,53,91,1,0,0,Male,Yes,Yes,Yes,No,Low,High,Medium,Distinction,Auditory,0.25,0.06000000000000005,0.85,0.5,0.0,0.0
2130,20,95,1,1,0,0,0,26,1,1,1,71,55,1,0,2,Female,No,Yes,Yes,Yes,High,High,Low,Pass,Kinesthetic,0.875,0.41999999999999993,0.25,0.0,0.0,1.0
2131,20,95,0,1,0,0,0,26,1,1,1,71,55,1,0,2,Female,No,Yes,Yes,Yes,High,High,High,Pass,Kinesthetic,0.875,0.41999999999999993,0.25,0.0,0.0,1.0
2132,20,95,1,1,0,0,0,26,1,1,1,71,55,1,0,2,Female,No,Yes,Yes,Yes,High,High,Low,Pass,Kinesthetic,0.875,0.41999999999999993,0.25,0.0,0.0,1.0
2133,20,95,1,1,0,1,0,26,1,1,1,71,55,1,0,2,Female,Yes,Yes,Yes,Yes,High,High,Low,Pass,Kinesthetic,0.875,0.41999999999999993,0.25,0.0,0.0,1.0
2134,20,95,1,0,1,1,0,26,1,1,1,71,55,1,0,2,Female,Yes,No,Yes,Yes,Low,High,Low,Pass,Kinesthetic,0.875,0.41999999999999993,0.25,0.5,0.0,1.0
2135,20,95,1,1,1,1,0,26,1,1,1,71,55,1,0,2,Female,Yes,Yes,Yes,Yes,Low,High,Low,Pass,Kinesthetic,0.875,0.41999999999999993,0.25,0.5,0.0,1.0
2136,20,95,1,0,2,1,0,26,1,1,1,71,55,1,0,2,Female,Yes,No,Yes,Yes,Medium,High,Low,Pass,Kinesthetic,0.875,0.41999999999999993,0.25,1.0,0.0,1.0
2137,20,95,0,0,2,1,0,26,1,1,1,71,55,1,0,2,Female,Yes,No,Yes,Yes,Medium,High,High,Pass,Kinesthetic,0.875,0.41999999999999993,0.25,1.0,0.0,1.0
2138,10,64,2,0,2,1,0,19,3,17,0,61,65,0,2,2,Female,Yes,No,No,No,Medium,Medium,Medium,Pass,Visual,0.10000000000000009,0.21999999999999997,0.41666666666666663,1.0,1.0,0.0
2139,10,64,2,0,2,1,0,19,1,9,1,62,68,1,0,2,Female,Yes,No,Yes,Yes,Medium,High,Medium,Pass,Kinesthetic,0.10000000000000009,0.24,0.4666666666666667,1.0,0.0,1.0
2140,10,64,2,0,2,1,0,23,2,13,1,67,59,0,1,2,Female,Yes,No,No,Yes,Medium,Low,Medium,Pass,ReadWrite,0.10000000000000009,0.3400000000000001,0.31666666666666665,1.0,0.5,1.0
2141,10,64,2,0,2,1,0,23,0,1,1,62,40,0,2,3,Female,Yes,No,No,Yes,Medium,Medium,Medium,Fail,Auditory,0.10000000000000009,0.24,0.0,1.0,1.0,1.0
2142,10,64,0,0,0,1,0,19,3,17,0,61,65,0,2,2,Female,Yes,No,No,No,High,Medium,High,Pass,Visual,0.10000000000000009,0.21999999999999997,0.41666666666666663,0.0,1.0,0.0
2143,10,64,0,0,0,1,0,19,1,9,1,62,68,1,0,2,Female,Yes,No,Yes,Yes,High,High,High,Pass,Kinesthetic,0.10000000000000009,0.24,0.4666666666666667,0.0,0.0,1.0
2144,10,64,0,0,0,1,0,23,2,13,1,67,59,0,1,2,Female,Yes,No,No,Yes,High,Low,High,Pass,ReadWrite,0.10000000000000009,0.3400000000000001,0.31666666666666665,0.0,0.5,1.0
2145,10,64,0,0,0,1,0,23,0,1,1,62,40,0,2,3,Female,Yes,No,No,Yes,High,Medium,High,Fail,Auditory,0.10000000000000009,0.24,0.0,0.0,1.0,1.0
2146,17,69,1,1,1,1,0,29,1,2,0,78,97,1,2,0,Female,Yes,Yes,Yes,No,Low,Medium,Low,Distinction,Kinesthetic,0.2250000000000001,0.56,0.9500000000000001,0.5,1.0,0.0
2147,17,69,1,0,1,1,0,29,1,2,0,78,97,1,2,0,Female,Yes,No,Yes,No,Low,Medium,Low,Distinction,Kinesthetic,0.2250000000000001,0.56,0.9500000000000001,0.5,1.0,0.0
